ts,symbol,status,open,high,low,close,upper,lower,is_cross
1771168260,CHFJPY_otc,LIVE,198.198,198.277,198.181,198.262,1,1,1
1771168320,CHFJPY_otc,LIVE,198.262,198.36,198.249,198.36,0,1,0
1771168380,CHFJPY_otc,LIVE,198.36,198.396,198.298,198.389,1,1,1
1771168440,CHFJPY_otc,LIVE,198.389,198.525,198.378,198.484,1,1,1
1771168500,CHFJPY_otc,LIVE,198.477,198.485,198.396,198.455,1,1,1
1771168560,CHFJPY_otc,LIVE,198.455,198.54,198.409,198.445,1,1,1
1771168620,CHFJPY_otc,LIVE,198.445,198.472,198.266,198.266,1,0,0
1771168680,CHFJPY_otc,LIVE,198.266,198.349,198.266,198.349,0,0,0
1771168740,CHFJPY_otc,LIVE,198.352,198.409,198.323,198.356,1,1,1
1771168800,CHFJPY_otc,LIVE,198.36,198.426,198.29,198.413,1,1,1
1771168860,CHFJPY_otc,LIVE,198.418,198.455,198.356,198.451,1,1,1
1771168920,CHFJPY_otc,LIVE,198.451,198.479,198.357,198.36,1,1,1
1771168980,CHFJPY_otc,LIVE,198.36,198.42,198.328,198.366,1,1,1
1771169040,CHFJPY_otc,LIVE,198.372,198.389,198.196,198.212,1,1,1
1771169100,CHFJPY_otc,LIVE,198.218,198.249,198.136,198.149,1,1,1
1771169160,CHFJPY_otc,LIVE,198.149,198.189,198.101,198.171,1,1,1
1771169220,CHFJPY_otc,LIVE,198.167,198.398,198.143,198.389,1,1,1
1771169280,CHFJPY_otc,LIVE,198.389,198.421,198.342,198.394,1,1,1
1771169340,CHFJPY_otc,LIVE,198.391,198.391,198.266,198.276,0,1,0
1771169400,CHFJPY_otc,LIVE,198.272,198.274,198.03,198.058,1,1,1
1771169460,CHFJPY_otc,LIVE,198.052,198.105,198.021,198.083,1,1,1
1771169520,CHFJPY_otc,LIVE,198.083,198.111,197.986,198.009,1,1,1
1771169580,CHFJPY_otc,LIVE,198.012,198.012,197.9,197.919,0,1,0
1771169640,CHFJPY_otc,LIVE,197.913,197.968,197.898,197.937,1,1,1
1771169700,CHFJPY_otc,LIVE,197.933,198.093,197.923,198.093,0,1,0
1771169760,CHFJPY_otc,LIVE,198.096,198.203,198.092,198.18,1,1,1
1771169820,CHFJPY_otc,LIVE,198.18,198.283,198.175,198.282,1,1,1
1771169880,CHFJPY_otc,LIVE,198.282,198.357,198.253,198.337,1,1,1
1771169940,CHFJPY_otc,LIVE,198.337,198.448,198.319,198.398,1,1,1
1771170000,CHFJPY_otc,LIVE,198.393,198.484,198.37,198.447,1,1,1
1771170060,CHFJPY_otc,LIVE,198.459,198.543,198.444,198.528,1,1,1
1771170120,CHFJPY_otc,LIVE,198.528,198.638,198.5,198.628,1,1,1
1771170180,CHFJPY_otc,LIVE,198.628,198.684,198.616,198.641,1,1,1
1771170240,CHFJPY_otc,LIVE,198.641,198.691,198.608,198.684,1,1,1
1771170300,CHFJPY_otc,LIVE,198.687,198.775,198.68,198.759,1,1,1
1771170360,CHFJPY_otc,LIVE,198.759,198.806,198.745,198.782,1,1,1
1771170420,CHFJPY_otc,LIVE,198.782,198.854,198.734,198.845,1,1,1
1771170480,CHFJPY_otc,LIVE,198.845,198.882,198.779,198.882,0,1,0
1771170540,CHFJPY_otc,LIVE,198.885,198.966,198.857,198.919,1,1,1
1771170600,CHFJPY_otc,LIVE,198.916,198.941,198.811,198.817,1,1,1
1771170660,CHFJPY_otc,LIVE,198.811,198.844,198.739,198.83,1,1,1
1771170720,CHFJPY_otc,LIVE,198.836,198.941,198.832,198.935,1,1,1
1771170780,CHFJPY_otc,LIVE,198.935,199.116,198.844,199.116,0,1,0
1771170840,CHFJPY_otc,LIVE,199.11,199.413,199.102,199.374,1,1,1
1771170900,CHFJPY_otc,LIVE,199.377,199.392,199.349,199.365,1,1,1
1771170960,CHFJPY_otc,LIVE,199.362,199.479,199.348,199.463,1,1,1
1771171020,CHFJPY_otc,LIVE,199.468,199.601,199.457,199.576,1,1,1
1771171080,CHFJPY_otc,LIVE,199.576,199.583,199.443,199.443,1,0,0
1771171140,CHFJPY_otc,LIVE,199.437,199.466,199.36,199.391,1,1,1
1771171200,CHFJPY_otc,LIVE,199.391,199.395,199.243,199.282,1,1,1
1771171260,CHFJPY_otc,LIVE,199.285,199.325,199.218,199.292,1,1,1
